price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,,year_built,year_renovated,city,country
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,,2014,0,Seattle,USA
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,,2009,0,Issaquah,USA
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,,2001,0,Seattle,USA
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,,2007,0,Redmond,USA
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,,2006,0,Issaquah,USA
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,,2008,0,Seattle,USA
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,,2010,0,Issaquah,USA
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,,2005,0,Seattle,USA
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,,2007,0,Renton,USA
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,,2006,0,Issaquah,USA
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,,2014,0,Issaquah,USA
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,,2013,1923,Redmond,USA
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,,1971,0,Kirkland,USA
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,,1912,2005,Seattle,USA
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,,1947,1988,Seattle,USA
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,,1985,0,Redmond,USA
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,,1975,0,Covington,USA
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,,1916,1986,Seattle,USA
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,,1924,2011,Seattle,USA
